City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Umm lajj,SA,80.47,clear sky,25.0213,37.2685,Moon light Furnished Units
4,Bambous virieux,MU,75.45,scattered clouds,-20.3428,57.7575,Casa Tia Villa
7,Wewak,PG,81.16,broken clouds,-3.5534,143.6268,In Wewak Boutique Hotel
16,Hilo,US,79.29,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
19,Inhambane,MZ,75.18,few clouds,-23.865,35.3833,Oceano
21,Hithadhoo,MV,82.18,broken clouds,-0.6,73.0833,Scoop Guest House
27,Denpasar,ID,78.46,moderate rain,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
30,Sao filipe,CV,77.43,scattered clouds,14.8961,-24.4956,Hotel Xaguate
35,Bengkulu,ID,75.15,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
39,Biak,ID,77.0,overcast clouds,-0.9131,122.8766,Penginapan Kim
43,Adrar,MR,83.1,broken clouds,20.5022,-10.0711,
46,Riyadh,SA,75.34,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
48,Mahebourg,MU,75.49,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
52,Atuona,PF,78.04,few clouds,-9.8,-139.0333,Villa Enata
56,Bara,NG,87.15,clear sky,10.3744,10.7288,
61,Butaritari,KI,81.45,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
64,Torit,SS,82.69,overcast clouds,4.4133,32.5678,Diplomat Guest House
70,Teknaf,BD,75.7,overcast clouds,20.8624,92.3058,Forestry Guesthouse
74,Lamu,KE,82.62,overcast clouds,-2.2717,40.902,Lamu House
77,Mananjary,MG,76.44,clear sky,-21.2167,48.3333,Vahiny Lodge
79,Callaway,US,75.97,clear sky,30.153,-85.5699,"Holiday Inn Express & Suites Panama City-Tyndall, an IHG Hotel"
81,Houma,US,75.99,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
83,Puerto ayora,EC,76.96,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
86,Namatanai,PG,79.74,light rain,-3.6667,152.4333,Seagulls Inn Namatani
90,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
97,Kochi,IN,78.78,overcast clouds,9.9399,76.2602,Hotel Abad
98,Bathsheba,BB,86.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
103,Kavieng,PG,83.01,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
104,Bahia honda,CU,80.6,clear sky,22.9036,-83.1592,Casa Gualberto - Deysi
115,Maumere,ID,81.55,overcast clouds,-8.6199,122.2111,Sylvia Hotel
116,Antalaha,MG,76.28,scattered clouds,-14.9003,50.2788,Hotel Vitasoa
120,San patricio,US,82.87,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
122,Sur,OM,77.34,clear sky,22.5667,59.5289,Sur Plaza Hotel
124,Dakar,SN,85.08,overcast clouds,14.6937,-17.4441,Redface Studios Meublés
