City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Umm lajj,SA,25.0213,37.2685,80.47,60,0,4.45,clear sky
1,Dikson,RU,73.5069,80.5464,-6.95,93,36,8.63,scattered clouds
2,Castro,BR,-24.7911,-50.0119,74.75,59,56,4.85,broken clouds
3,Punta arenas,CL,-53.15,-70.9167,57.31,33,40,17.27,scattered clouds
4,Bambous virieux,MU,-20.3428,57.7575,75.45,73,40,9.22,scattered clouds
5,New norfolk,AU,-42.7826,147.0587,47.91,73,88,1.99,overcast clouds
6,Barrow,US,71.2906,-156.7887,19.42,86,90,17.27,overcast clouds
7,Wewak,PG,-3.5534,143.6268,81.16,80,81,7.36,broken clouds
8,Kodiak,US,57.79,-152.4072,20.71,86,90,5.75,overcast clouds
9,Hovd,MN,48.0056,91.6419,20.59,45,35,0.07,scattered clouds
10,Khatanga,RU,71.9667,102.5,-23.94,100,81,5.61,broken clouds
11,Plettenberg bay,ZA,-34.0527,23.3716,61.95,73,43,4.7,scattered clouds
12,Qaanaaq,GL,77.484,-69.3632,-1.79,64,90,7.54,overcast clouds
13,Kaptanganj,IN,26.9267,83.7153,70.11,51,10,3.91,clear sky
14,Busselton,AU,-33.65,115.3333,50.09,85,65,9.57,broken clouds
15,Henties bay,NA,-22.116,14.2845,59.86,82,15,11.01,few clouds
16,Hilo,US,19.7297,-155.09,79.29,85,75,4.61,broken clouds
17,Airai,TL,-8.9266,125.4092,63.73,95,99,1.57,overcast clouds
18,Treinta y tres,UY,-33.2333,-54.3833,73.09,45,47,8.12,scattered clouds
19,Inhambane,MZ,-23.865,35.3833,75.18,78,20,10.36,few clouds
20,Saint-philippe,RE,-21.3585,55.7679,74.79,76,53,8.25,broken clouds
21,Hithadhoo,MV,-0.6,73.0833,82.18,78,56,21.7,broken clouds
22,Saskylakh,RU,71.9167,114.0833,-8.93,99,96,6.31,overcast clouds
23,Kapaa,US,22.0752,-159.319,70.12,72,75,1.01,broken clouds
24,Oranjemund,NA,-28.55,16.4333,63.34,71,0,20.76,clear sky
25,Tiksi,RU,71.6872,128.8694,-3.24,100,96,5.91,overcast clouds
26,East london,ZA,-33.0153,27.9116,67.46,80,28,10.96,scattered clouds
27,Denpasar,ID,-8.65,115.2167,78.46,94,40,1.14,moderate rain
28,Esperance,AU,-33.8667,121.9,55.89,63,97,5.66,overcast clouds
29,Tateyama,JP,34.9833,139.8667,63.1,58,0,24.87,clear sky
30,Sao filipe,CV,14.8961,-24.4956,77.43,71,29,1.95,scattered clouds
31,Rikitea,PF,-23.1203,-134.9692,72.03,85,100,15.32,moderate rain
32,Najran,SA,17.4924,44.1277,67.51,25,14,5.5,few clouds
33,Abalak,RU,58.1286,68.5944,26.28,95,100,7.2,overcast clouds
34,Ushuaia,AR,-54.8,-68.3,51.42,69,96,1.59,overcast clouds
35,Bengkulu,ID,-3.8004,102.2655,75.15,84,100,4.45,overcast clouds
36,Bredasdorp,ZA,-34.5322,20.0403,65.28,69,27,10.56,scattered clouds
37,Leningradskiy,RU,69.3833,178.4167,8.73,96,97,5.91,light snow
38,Saldanha,ZA,-33.0117,17.9442,63.19,81,59,16.69,broken clouds
39,Biak,ID,-0.9131,122.8766,77.0,85,100,3.44,overcast clouds
40,Gopalganj,IN,26.4667,84.4333,71.6,51,12,4.12,few clouds
41,Hereford,GB,52.0568,-2.7148,54.64,95,100,1.34,overcast clouds
42,Comodoro rivadavia,AR,-45.8667,-67.5,73.26,23,38,24.16,dust
43,Adrar,MR,20.5022,-10.0711,83.1,11,81,4.97,broken clouds
44,San lucas,MX,16.6,-92.7167,74.16,58,55,3.38,broken clouds
45,Torbay,CA,47.6666,-52.7314,49.75,64,60,5.01,broken clouds
46,Riyadh,SA,24.6877,46.7219,75.34,27,3,10.02,clear sky
47,Ondangwa,NA,-17.9167,15.95,90.12,22,98,7.72,overcast clouds
48,Mahebourg,MU,-20.4081,57.7,75.49,73,40,9.22,scattered clouds
49,Santa cruz,BO,-17.8,-63.1667,94.28,37,97,8.61,overcast clouds
50,Weihai,CN,37.5017,122.1136,51.44,60,89,21.79,light rain
51,Arraial do cabo,BR,-22.9661,-42.0278,73.26,78,75,6.91,broken clouds
52,Atuona,PF,-9.8,-139.0333,78.04,68,19,15.75,few clouds
53,Krasnoselkup,RU,65.7,82.4667,6.8,93,100,11.81,overcast clouds
54,Creston,US,41.0586,-94.3614,53.53,95,100,10.8,overcast clouds
55,Carnarvon,AU,-24.8667,113.6333,64.47,72,0,14.97,clear sky
56,Bara,NG,10.3744,10.7288,87.15,22,1,5.55,clear sky
57,Windhoek,NA,-22.5594,17.0832,86.11,16,42,8.84,scattered clouds
58,Kaitangata,NZ,-46.2817,169.8464,52.45,95,91,3.18,overcast clouds
59,Coquimbo,CL,-29.9533,-71.3436,64.13,67,20,9.22,few clouds
60,Sarakhs,IR,36.5449,61.1577,56.8,21,0,8.03,clear sky
61,Butaritari,KI,3.0707,172.7902,81.45,66,25,13.62,scattered clouds
62,Ponta do sol,PT,32.6667,-17.1,72.72,72,78,2.48,broken clouds
63,Channel-port aux basques,CA,47.5702,-59.1367,45.68,69,100,11.9,overcast clouds
64,Torit,SS,4.4133,32.5678,82.69,49,100,2.62,overcast clouds
65,Yar-sale,RU,66.8333,70.8333,8.89,86,85,7.23,overcast clouds
66,Mataura,NZ,-46.1927,168.8643,49.86,99,82,2.59,broken clouds
67,Port alfred,ZA,-33.5906,26.891,64.56,79,41,9.93,scattered clouds
68,Southbridge,US,42.0751,-72.0334,62.31,63,68,1.99,broken clouds
69,Copiapo,CL,-27.3667,-70.3333,64.09,28,0,10.4,clear sky
70,Teknaf,BD,20.8624,92.3058,75.7,82,90,4.38,overcast clouds
71,Tooele,US,40.5308,-112.2983,48.97,59,67,3.76,broken clouds
72,Pacific grove,US,36.6177,-121.9166,60.8,94,5,1.01,clear sky
73,Cape town,ZA,-33.9258,18.4232,70.27,65,64,1.99,broken clouds
74,Lamu,KE,-2.2717,40.902,82.62,84,95,9.13,overcast clouds
75,Inta,RU,66.0317,60.1659,5.13,96,82,8.25,broken clouds
76,Bethel,US,41.3712,-73.414,64.98,59,40,3.0,scattered clouds
77,Mananjary,MG,-21.2167,48.3333,76.44,90,4,9.84,clear sky
78,Taman,RU,45.2117,36.7161,37.72,62,81,18.23,broken clouds
79,Callaway,US,30.153,-85.5699,75.97,60,1,5.01,clear sky
80,Teahupoo,PF,-17.8333,-149.2667,73.36,77,86,16.4,light rain
81,Houma,US,29.5958,-90.7195,75.99,64,1,10.36,clear sky
82,Alice springs,AU,-23.7,133.8833,69.35,60,40,10.36,scattered clouds
83,Puerto ayora,EC,-0.7393,-90.3518,76.96,77,79,10.54,broken clouds
84,Komsomolskiy,UZ,40.4272,71.7189,45.32,57,75,4.61,haze
85,Pevek,RU,69.7008,170.3133,7.61,97,98,4.34,overcast clouds
86,Namatanai,PG,-3.6667,152.4333,79.74,81,69,6.71,light rain
87,Hobart,AU,-42.8794,147.3294,48.25,90,90,3.0,heavy intensity rain
88,Ilulissat,GL,69.2167,-51.1,12.22,57,75,9.22,broken clouds
89,Klaksvik,FO,62.2266,-6.589,40.12,89,99,39.59,overcast clouds
90,Georgetown,MY,5.4112,100.3354,80.53,80,20,3.44,few clouds
