City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,esmeralda,CU,2021-11-08 18:28:51,21.8525,-78.1169,81.64,55,95,9.44
1,east london,ZA,2021-11-08 18:28:52,-33.0153,27.9116,59.94,94,75,11.5
2,bredasdorp,ZA,2021-11-08 18:28:52,-34.5322,20.0403,58.32,67,58,5.75
3,kodiak,US,2021-11-08 18:28:52,57.79,-152.4072,35.11,69,1,13.8
4,tekirdag,TR,2021-11-08 18:28:53,40.978,27.5085,52.95,69,100,4.36
5,new norfolk,AU,2021-11-08 18:28:53,-42.7826,147.0587,49.5,73,30,1.99
6,alihe,CN,2021-11-08 18:28:53,50.5667,123.7167,17.85,68,26,4.21
7,rikitea,PF,2021-11-08 18:28:53,-23.1203,-134.9692,74.23,81,100,12.91
8,luderitz,NA,2021-11-08 18:28:54,-26.6481,15.1594,62.49,67,24,29.19
9,pozo colorado,PY,2021-11-08 18:28:54,-23.4923,-58.7972,93.42,36,78,4.63
10,kapaa,US,2021-11-08 18:28:54,22.0752,-159.319,77.32,78,75,16.11
11,albany,US,2021-11-08 18:20:08,42.6001,-73.9662,63.68,58,2,4.0
12,cherskiy,RU,2021-11-08 18:28:54,68.75,161.3,-1.79,98,98,2.01
13,provideniya,RU,2021-11-08 18:28:55,64.3833,-173.3,12.0,86,11,5.59
14,airai,TL,2021-11-08 18:28:55,-8.9266,125.4092,63.09,94,100,0.34
15,hermanus,ZA,2021-11-08 18:28:55,-34.4187,19.2345,60.91,69,13,5.93
16,yellowknife,CA,2021-11-08 18:28:56,62.456,-114.3525,24.42,89,75,8.05
17,georgetown,MY,2021-11-08 18:28:56,5.4112,100.3354,78.73,93,40,3.44
18,port alfred,ZA,2021-11-08 18:28:56,-33.5906,26.891,60.87,84,100,15.68
19,sheridan,US,2021-11-08 18:28:56,44.8333,-106.9173,50.31,56,1,4.61
20,mar del plata,AR,2021-11-08 18:28:57,-38.0023,-57.5575,66.22,91,20,8.99
21,hithadhoo,MV,2021-11-08 18:28:57,-0.6,73.0833,82.56,74,94,14.81
22,butaritari,KI,2021-11-08 18:28:57,3.0707,172.7902,81.75,71,5,14.85
23,lagoa,PT,2021-11-08 18:28:58,39.05,-27.9833,62.62,91,100,3.58
24,sur,OM,2021-11-08 18:28:58,22.5667,59.5289,77.41,55,0,4.32
25,vila do maio,CV,2021-11-08 18:28:58,15.1333,-23.2167,79.59,73,96,13.13
26,vestmannaeyjar,IS,2021-11-08 18:28:58,63.4427,-20.2734,45.59,81,90,27.63
27,bethel,US,2021-11-08 18:28:59,41.3712,-73.414,65.71,51,0,1.01
28,bluff,NZ,2021-11-08 18:28:59,-46.6,168.3333,54.36,84,98,3.49
29,nanortalik,GL,2021-11-08 18:28:59,60.1432,-45.2371,26.67,78,49,15.52
30,arraial do cabo,BR,2021-11-08 18:29:00,-22.9661,-42.0278,76.96,73,75,9.22
31,mitu,CO,2021-11-08 18:29:00,1.1983,-70.1733,84.97,72,93,4.41
32,hilo,US,2021-11-08 18:29:00,19.7297,-155.09,76.8,76,20,5.75
33,hobart,AU,2021-11-08 18:27:34,-42.8794,147.3294,49.86,85,90,1.14
34,haines junction,CA,2021-11-08 18:29:00,60.7522,-137.5108,1.35,85,33,2.3
35,bambous virieux,MU,2021-11-08 18:29:01,-20.3428,57.7575,77.25,83,75,8.05
36,lebedinyy,RU,2021-11-08 18:29:02,58.5167,125.5167,12.04,90,96,12.86
37,hasaki,JP,2021-11-08 18:29:02,35.7333,140.8333,59.4,68,99,17.52
38,villazon,BO,2021-11-08 18:29:03,-22.0866,-65.5942,70.7,11,12,10.94
39,matara,LK,2021-11-08 18:29:03,5.9485,80.5353,74.7,91,100,12.53
40,fort frances,CA,2021-11-08 18:28:19,48.5999,-93.4003,49.15,53,1,4.0
41,ilulissat,GL,2021-11-08 18:29:04,69.2167,-51.1,-8.32,77,0,6.2
42,nanakuli,US,2021-11-08 18:29:04,21.3906,-158.1547,79.7,73,90,5.75
43,punta arenas,CL,2021-11-08 18:24:15,-53.15,-70.9167,55.51,44,40,26.46
44,washington,US,2021-11-08 18:26:08,47.5001,-120.5015,40.95,78,93,3.47
45,atuona,PF,2021-11-08 18:29:04,-9.8,-139.0333,77.41,79,17,19.42
46,esmeralda,CU,2021-11-08 18:28:51,21.8525,-78.1169,81.64,55,95,9.44
